Focus_Quality_Score,Productivity_Score
3,41
9,95
5,47
4,50
1,25
2,15
4,59
2,10
8,67
5,55
1,5
3,34
5,43
1,33
1,15
1,2
2,27
3,33
4,45
5,57
6,67
7,80
8,75
9,88
1,4
7,75
8,87
6,65
2,23
3,32
4,39
2,25
3,33
4,48
5,59
6,66
7,71
8,87
1,12
1,5
9,93
10,98
1,3
9,99
8,86
7,43
6,65
5,51
4,49
3,31
2,20
1,10
2,49
2,67
7,77
7,72
5,53
5,58
4,13
5,52
6,61
1,79
1,9
10,99
4,41
5,53
6,62
7,79
8,81
7,74
6,63
5,33
4,46
8,83
3,33
9,97
2,20
10,97
1,5
1,2
6,66
7,78
8,83
9,50
3,37
4,47
5,53
6,61
7,66
8,80
7,74
6,64
5,55
4,78
10,96
2,29
8,22
9,50
3,86
5,54
2,29
3,50
4,33
1,19
1,2
7,78
8,68
9,90
10,99
6,43
6,66
6,45
2,30
2,20
2,10
8,77
8,90
8,55
1,50
1,22
1,15
10,95
10,99
10,85
7,80
8,90
6,42
9,93
1,2
4,50
2,25
3,39
4,47
7,54
5,55
6,65
5,54
6,32
7,75
4,49
8,88
2,20
3,33
4,30
5,55
7,89
8,89
9,90
10,93
1,4
7,75
6,65
5,55
4,43
3,38
1,6
1,8
1,10
2,12
3,33
8,80
9,90
10,75
2,70
9,96
4,66
5,34
6,95
7,34
8,79
5,34
6,78
4,56
7,35
4,44
8,76
3,37
9,98
2,25
6,79
6,65
7,62
7,79
5,45
5,50
4,41
4,33
8,67
8,80
5,69
6,69
7,77
3,21
9,78
7,77
3,50
5,58
3,30
4,44
4,20